Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,3726.7268785514343,2545.051021456231,0.302,3062.626404895972,913.4945979583481,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,0.0,0.0,0.0
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,3302.655364442167,2299.837470672725,0.369,3072.626404895972,921.874854964633,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,1.0,474.8380536561437,295.98009033038073
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,3015.5364741373464,2038.5022234316423,0.441,3072.626404895972,921.8547514415527,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,2.0,754.4009217702596,549.7593153807591
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2826.6464486892355,1862.8408256219507,0.489,3072.626404895972,921.9410065324288,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,3.0,939.6496738178691,721.7794397899494
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2684.559532637488,1736.199993617372,0.524,3072.626404895972,922.0020212881243,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,4.0,1079.2436162701208,845.9272981950326
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2583.1133708677116,1648.1001112883653,0.548,3072.626404895972,922.151566352063,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,5.0,1179.1137820456984,932.4511845298407
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2506.3028943124864,1583.6599301888293,0.565,3072.626404895972,922.1205303820162,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,6.0,1254.9393949006205,995.906501929074
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2444.9342934610163,1533.495692293954,0.579,3072.626404895972,922.1823221985488,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,7.0,1315.7722231798411,1045.534967251699
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2401.31669086575,1500.2087211075054,0.588,3072.626404895972,922.2455926924542,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,8.0,1359.1145828472113,1078.5466955102518
1.0,3357.0,8111.081856522998,1875.01953125,3644.433309571462,2371.0187798442735,1479.6141622452087,0.594,3072.626404895972,922.3023916401825,Ecoforest Geotermia ,ECOAIR 1-7 PRO,L/W,5124.05,0.0,geregelt,3470.0,8310.44292110257,2457.8505882192376,2644.4165429047953,1958.5412338481644,685.875309056631,4.072086728626054,4.243179963474201,3.5835239376087515,3.776296671024312,0.018,26.405028058605016,48.44112377849767,5.0,Süd,4826.109166666666,1099.3822881152323,9.0,1389.3340919996613,1099.0628525035208
