Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,3728.8199723043213,2513.550757988602,0.304,3428.193787342517,948.9205790644731,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,0.0,0.0,0.0
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,3302.2076022961432,2266.223186918377,0.372,3438.193787342517,958.6369027792933,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,1.0,477.081299971026,297.7965010330733
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,3012.3700511685474,2002.6488169167703,0.445,3438.193787342517,958.7681302886086,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,2.0,759.179918793078,553.6319387291352
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2826.782201518615,1830.1029149387614,0.493,3438.193787342517,958.7543697851536,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,3.0,940.9609342213829,722.371006485517
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2689.3211576806148,1707.9601729629912,0.527,3438.193787342517,958.8036297434414,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,4.0,1075.92676502504,842.0185354269439
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2592.6885929090868,1624.5384498823457,0.55,3438.193787342517,958.8046050483173,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,5.0,1171.0727795222042,923.9537082332255
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2518.696246349745,1562.7324793473058,0.567,3438.193787342517,958.779700620765,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,6.0,1244.1347500605168,984.8293027472364
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2460.278123188989,1515.5988519771324,0.58,3438.193787342517,958.8421386934949,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,7.0,1302.0858754521573,1031.4959323482942
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2419.778440926751,1485.3977983788195,0.589,3438.193787342517,958.754606842251,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,8.0,1342.3944703488248,1061.5058985810379
1.0,3357.0,8111.081856522998,1875.01953125,3610.839952350948,2390.740081683798,1466.0222223727014,0.594,3438.193787342517,958.7957973503352,Vaillant Deutschland ,VWL 35/5 AS 230V + VWL 57/5 IS,L/W,5199.816666666667,0.0,geregelt,3100.0,8308.95953929532,2457.4396600915807,2610.8231856842813,1849.957673991847,760.8655116924341,4.123756544840508,4.491432239834012,3.229795045678132,3.824886128838212,0.024,26.349890485940563,48.41522230278428,5.0,Süd,4826.109166666666,1097.2891943623458,9.0,1371.4007674217446,1080.8494124171211
