Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,3297.809027054382,8107.425033252069,0.172,6775.983584247502,2996.9344488863508,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,0.0,0.0,0.0
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2838.0939381087746,7831.681701488631,0.201,6785.983584247502,2989.1007765095774,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,1.0,512.233768377631,328.2620111954636
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2563.0051792706486,7576.030652070466,0.227,6785.983584247502,2982.642610634138,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,2.0,783.6292622118383,580.2197956097083
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2379.4024809720545,7400.814638865467,0.244,6785.983584247502,2980.39858755002,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,3.0,966.2929255667294,754.4967738710044
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2254.2976802370104,7284.624591591439,0.256,6785.983584247502,2980.1242820455936,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,4.0,1090.8489046423597,870.1379994856186
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2155.838685058409,7195.299850243423,0.265,6785.983584247502,2979.9996405899374,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,5.0,1188.8696270273565,959.024468040028
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2072.2847516006723,7120.940806116646,0.273,6785.983584247502,2979.841843685425,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,6.0,1272.0163233169899,1032.9762749987021
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,2000.2049110742257,7057.689602472127,0.28,6785.983584247502,2979.797831123991,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,7.0,1343.750041827497,1095.8813566272852
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,1938.6313648855291,7004.607964183332,0.285,6785.983584247502,2979.7641184239933,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,8.0,1405.1585419380822,1148.797948837966
4.0,3522.0,22746.06730848754,3155.29411764706,9795.832422864356,1886.405689757466,6960.42051820246,0.289,6785.983584247502,2979.7466898384273,LG Electronics Inc.,"HU161HA U33, HN1610H NK3",L/W,4340.283333333334,0.0,geregelt,9600.0,22942.08420736618,3741.7790531766354,8795.849056197689,7610.980715015163,1184.8683411825257,3.0336881738256936,3.014340078684653,3.157970318830744,2.944725547317585,0.036,26.180773781143632,48.661687569783375,5.0,Süd,4986.216416666666,1688.4073896122845,9.0,1457.2551311171646,1192.8563088698563
