Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,3660.3572094141005,2943.158956761879,0.257,5003.815865334469,1169.8374994873607,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,0.0,0.0,0.0
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,3150.7382640674346,2627.4051423634255,0.337,5013.815865334469,1119.8400271206492,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,1.0,557.2241804937228,363.3590495455097
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2847.916041126655,2344.3212245182435,0.408,5013.815865334469,1069.3440860712433,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,2.0,856.9762368416849,643.3728007978742
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2584.0993775304405,2098.11013093235,0.47,5013.815865334469,1033.7938809722677,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,3.0,1115.3558554373315,884.1468493831995
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2383.336615521137,1913.7133243069836,0.517,5013.815865334469,1005.6307462609062,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,4.0,1312.890275841595,1065.3153144035261
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2246.4368338766594,1789.7989505747287,0.548,5013.815865334469,985.1327907518731,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,5.0,1447.8162024418705,1187.2558330915815
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2149.8213075952312,1703.6272579849267,0.57,5013.815865334469,977.2347004190574,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,6.0,1543.3555343599633,1272.3513313180445
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2084.6418845595076,1647.5313704217376,0.584,5013.815865334469,976.4170898960739,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,7.0,1608.0789997863878,1327.9912612719365
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,2033.6996435036551,1604.8254554605114,0.595,5013.815865334469,975.885208836042,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,8.0,1658.7365950992562,1370.4125304901777
7.0,3542.0,2963.0811913315483,6704.999999999997,3961.330914014447,1994.411349259451,1573.5653276472958,0.603,5013.815865334469,975.5411783700711,Panasonic Marketing Europe,WH-SDC0709J3E5 / WH-UD09JE5-1,L/W,2768.85,0.0,geregelt,6200.0,3138.427391941338,7287.480239947486,2961.351880681112,604.7795559212186,2356.5723247598935,3.520658149375636,5.189374146685217,3.092406782248872,3.2647525795238774,0.01,25.039858040308445,48.43306763708383,5.0,Süd,4678.529166666666,1018.1719572525658,9.0,1697.8929142134684,1401.5406831734015
