Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,3612.0196738791515,2601.5875660909214,0.291,3190.851219830846,1029.564087919477,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,0.0,0.0,0.0
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,3189.644354986176,2357.292878387056,0.357,3200.851219830846,1009.2262175437794,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,1.0,473.27050552023786,295.1898743311262
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2912.758944408373,2104.8753503333946,0.426,3200.851219830846,994.4102318190179,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,2.0,742.9679480777179,540.4194343644654
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2727.36948186081,1932.7058129286384,0.473,3200.851219830846,987.2364532456623,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,3.0,924.5198197961049,708.7513809400441
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2586.671163044932,1807.35732384051,0.507,3200.851219830846,984.9385549926428,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,4.0,1062.5089361755993,831.3906675917906
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2479.0741493278547,1713.1590000230563,0.533,3200.851219830846,984.6661453950078,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,5.0,1168.46416163426,923.9472031508278
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2408.6230495972377,1653.8875628286985,0.549,3200.851219830846,984.5426166823366,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,6.0,1238.1642204078908,982.4675993881979
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2356.810045846521,1612.3663325778546,0.56,3200.851219830846,984.487372661543,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,7.0,1289.6099427853762,1023.6215482658118
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2318.1541722725865,1583.5223245989062,0.568,3200.851219830846,984.6181808551161,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,8.0,1328.0317280817376,1052.2314679671852
7.0,3542.0,8129.363875458936,1875.01953125,3668.0970588784357,2286.8149398989785,1561.9215011217834,0.574,3200.851219830846,984.4797549147329,Saunier Duval Brand Group,HA 3-6 O 230V,L/W,4885.933333333333,0.0,geregelt,3690.0,8328.059288060309,2458.4593294773836,2668.118025545102,1878.3215258402017,789.7964997049,4.042744179329918,4.433777270552783,3.1127756711962684,3.7496030201531365,0.007,26.393589764599326,48.48222702468654,5.0,Süd,4678.529166666666,1066.5094927875143,9.0,1359.2068334360908,1073.6681644250546
