Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,3703.2974729555126,2534.033294138674,0.278,3765.6571649271286,1220.3810856405225,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,0.0,0.0,0.0
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,3254.862249865003,2269.229317926537,0.353,3775.6571649271286,1196.0499939190734,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,1.0,496.5860974039027,312.9548505255295
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2984.025164058861,2021.4417339596876,0.424,3775.6571649271286,1177.0339720791449,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,2.0,760.8921856739726,554.2114369563062
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2802.6071356724997,1852.9170916267092,0.472,3775.6571649271286,1167.8455193966502,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,3.0,938.5191887842752,718.9450540132261
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2665.33431118621,1730.7945561325955,0.507,3775.6571649271286,1162.1333806513549,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,4.0,1073.2054332415792,838.4810094783547
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2561.727146273203,1640.4449569613662,0.533,3775.6571649271286,1159.0803080030812,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,5.0,1175.2482502818589,927.2662607768566
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2494.1437661431182,1583.9667145139274,0.549,3775.6571649271286,1158.3139479941435,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,6.0,1242.2070538811054,983.1199266934582
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2447.6082164100094,1547.7577314816253,0.559,3775.6571649271286,1158.091735256771,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,7.0,1288.3636588650684,1018.949964976613
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2410.963694155154,1521.1433668788766,0.567,3775.6571649271286,1158.0460840921858,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,8.0,1324.7641739743763,1045.3203224338156
7.0,3542.0,8129.363875458936,1875.01953125,3509.2649878498282,2382.194213473445,1502.0289914685707,0.572,3775.6571649271286,1158.0208318642933,Groupe Atlantic,Loria 6006,L/W,3626.0666666666666,0.0,geregelt,4100.0,8332.5603695969,2458.9872766619487,2509.285954516495,1748.9682729923911,760.317681524104,4.300644821621469,4.764271884326601,3.2341576901549307,3.986944329203263,0.007,26.643731615296755,48.50942287238315,5.0,Süd,4678.529166666666,975.2316937111536,9.0,1353.5134244699873,1064.4144676580229
