Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,3075.613282487993,4937.602208201314,0.245,3857.23397338983,1199.2343642273825,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,0.0,0.0,0.0
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,2566.9807979617626,4618.437595842869,0.294,3867.23397338983,1202.1579596910258,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,1.0,563.217034031184,373.74916186339766
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,2223.481082543377,4292.400739703204,0.344,3867.23397338983,1201.5883413769484,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,2.0,903.6501428880105,696.719411441505
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1936.7270649680365,4020.9894318990678,0.385,3867.23397338983,1201.4630615075255,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,3.0,1186.9183505115755,964.6449092938658
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1721.6198341455702,3820.0347959466894,0.416,3867.23397338983,1201.4719338189,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,4.0,1399.7792321836666,1163.3531960958687
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1589.7986908331823,3696.5356186155086,0.435,3867.23397338983,1201.5563037045415,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,5.0,1531.2494395131039,1286.5014374441007
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1493.6726523657933,3607.2502205523583,0.448,3867.23397338983,1201.5285522443953,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,6.0,1627.408397665404,1375.8197551921592
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1419.0861772212133,3538.5489743132334,0.459,3867.23397338983,1201.582064956115,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,7.0,1702.1388360464139,1444.6649646677163
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1361.604719543742,3486.2013407062996,0.467,3867.23397338983,1201.6270841871085,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,8.0,1759.68620965282,1497.0785142035843
7.0,3542.0,8129.363875458936,5959.999999999993,6540.518092379988,1314.6158608838812,3444.5196522135175,0.473,3867.23397338983,1201.6735169626206,STIEBEL ELTRON ,WPE-I 04 H(K)(W) Premium,S/W,8605.683333333332,0.0,geregelt,3320.0,8271.16538382307,6520.850555816352,5540.539059046654,3638.796233728791,1901.7428253178637,2.669779200543105,2.273049891377771,3.4288813760748305,2.542959037975496,0.188,23.121846519974824,47.201015076957745,5.0,Süd,4678.529166666666,1602.9158841786734,9.0,1806.5257167041868,1538.6108510878732
