Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,3685.927169781258,2463.539598841523,0.287,3754.5933707555073,1079.5810787856417,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,0.0,0.0,0.0
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,3249.10004234817,2207.813081213739,0.361,3764.5933707555073,1057.527001837228,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,1.0,486.3157159531051,305.21510614779936
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2975.381369815913,1958.085762526111,0.433,3764.5933707555073,1033.4974808950478,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,2.0,752.5683485495517,547.4763848996156
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2795.4802896065416,1791.1233528731534,0.482,3764.5933707555073,1020.8624583082147,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,3.0,928.5856109551523,710.5549767488034
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2657.165900373482,1668.3351927097244,0.517,3764.5933707555073,1015.4465668339258,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,4.0,1064.223716408735,830.666853132755
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2552.390703781804,1577.1911008161032,0.544,3764.5933707555073,1012.439374380691,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,5.0,1167.4046545819983,920.2166866079624
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2482.9286537754438,1518.908217496852,0.561,3764.5933707555073,1012.1645333686788,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,6.0,1236.1990404031749,977.8319057420304
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2435.617728212492,1482.0598899933739,0.571,3764.5933707555073,1012.0030196943751,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,7.0,1283.1588560581713,1014.3291233375506
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2398.4411220338957,1455.073823495594,0.579,3764.5933707555073,1012.075726921839,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,8.0,1320.074876197853,1041.0546037964177
7.0,3542.0,8129.363875458936,1875.01953125,3456.141595726929,2369.7058144218645,1436.121300472259,0.584,3764.5933707555073,1012.0134418672484,STIEBEL ELTRON ,WPL 09 ICS classic,L/W,4239.666666666667,0.0,geregelt,3980.0,8331.649633925175,2458.7601801743567,2456.162562393596,1742.2458745521735,713.9166878414225,4.393198552616969,4.782131934200585,3.4440435726591456,4.073176409365754,0.005,26.599340842000757,48.49871890508099,5.0,Süd,4678.529166666666,992.6019968854068,9.0,1348.762640421842,1059.9595834317106
