Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,3634.721320301189,4013.6064727032804,0.206,6725.902636115702,1881.5779599845296,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,0.0,0.0,0.0
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,3091.967528003124,3671.2085365669327,0.274,6735.902636115702,1851.554155837141,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,1.0,588.8441465891202,388.4882904274028
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2782.236681512623,3380.82576395941,0.332,6735.902636115702,1831.2150969468307,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,2.0,895.0591983945288,675.3552683498345
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2537.546200930683,3149.0834727706656,0.377,6735.902636115702,1820.5665069343127,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,3.0,1137.7707664315838,905.1186469936928
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2369.1937163052116,2992.6768193676967,0.408,6735.902636115702,1812.892930001684,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,4.0,1304.267956115607,1059.6700054552152
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2242.5825573070856,2877.187861849626,0.431,6735.902636115702,1807.5389587997279,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,5.0,1429.5636899698727,1173.843537829423
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2147.240389915288,2791.7607863686876,0.448,6735.902636115702,1806.621515346718,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,6.0,1524.1645881701559,1258.5293441188496
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2073.102783705764,2726.8157082585253,0.461,6735.902636115702,1806.290710783764,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,7.0,1597.8064821751952,1322.978710024526
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,2015.0313425991903,2677.228117699381,0.471,6735.902636115702,1806.1719320331383,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,8.0,1655.6162066840775,1372.3045839859783
7.0,3542.0,9469.270089444977,4470.000000000002,5057.414319068757,1972.3286204506876,2642.485736699545,0.478,6735.902636115702,1806.0581236666676,Argoclima ,AIM14EMX3PH,L/W,2725.3166666666666,0.0,geregelt,8420.0,9676.448086777513,5055.6138089294955,4057.435285735426,2401.500016366644,1655.9352693687822,3.630880311880751,4.029335007633072,3.0530262278045566,3.435487964145911,0.002,26.88428955164468,48.60001056351232,5.0,Süd,4678.529166666666,1043.8078463654792,9.0,1698.1968370175323,1406.9248731707673
