Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,3708.875539890215,3894.482622318871,0.199,4699.980252955115,1524.2074626716917,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,0.0,0.0,0.0
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,3120.455828771136,3515.1545951127364,0.277,4709.980252955115,1484.168740892919,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,1.0,631.8829977759801,422.7913138630381
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2785.5138522377943,3200.3961024785553,0.342,4709.980252955115,1458.869083408602,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,2.0,963.0936027257552,733.8184349136513
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2531.4262785558453,2958.6836002606738,0.392,4709.980252955115,1447.2493297559477,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,3.0,1216.2548723512577,974.6046330750861
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2347.892190174514,2786.7147890641468,0.427,4709.980252955115,1438.7552352920745,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,4.0,1398.5112695775165,1145.295753116541
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2216.3425358951354,2665.6105501173624,0.452,4709.980252955115,1433.4120788362727,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,5.0,1528.7576815114692,1265.0967497178995
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2117.517234704717,2576.2174163627355,0.47,4709.980252955115,1432.2913808067901,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,6.0,1626.918843170374,1353.825743941013
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,2040.8178312995824,2508.401348198961,0.484,4709.980252955115,1431.9265794782373,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,7.0,1703.21331972475,1421.2368852540274
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,1982.5994748157532,2458.2762830092784,0.495,4709.980252955115,1431.7703044367279,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,8.0,1761.2029673186616,1471.133241553793
7.0,3542.0,9469.270089444977,4470.000000000002,4864.136249095324,1939.0450947773063,2422.334694122601,0.502,4709.980252955115,1431.9903284155132,Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,L/W,1971.3833333333334,0.0,geregelt,12900.0,9677.850475668203,5055.601763809177,3864.157215761988,2296.0284791094828,1568.1287366525053,3.812850103349647,4.215039388109754,3.223971122805519,3.6073247829012676,0.0,26.96249464669348,48.61750509969191,5.0,Süd,4678.529166666666,969.6536267764526,9.0,1804.705823259837,1507.0233063432004
