Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,3389.611382044654,4146.298895274335,0.237,2831.4305534518617,1105.0791502906127,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,0.0,0.0,0.0
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,2830.3451505074554,3788.799730500108,0.303,2841.4305534518617,1111.2252324959047,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,1.0,608.5610543120748,406.7939875491011
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,2512.1487578824112,3485.8339854432243,0.359,2841.4305534518617,1111.1835931049661,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,2.0,925.0913001515588,708.093585820426
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,2256.9163172574035,3241.948700131452,0.404,2841.4305534518617,1111.1241780271737,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,3.0,1178.7684395060426,950.423569861674
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,2024.5732559303267,3024.994073320966,0.443,2841.4305534518617,1111.2399602843375,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,4.0,1408.367712961193,1164.6344088002324
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,1836.0827817533016,2849.4232983135653,0.476,2841.4305534518617,1111.2337662165046,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,5.0,1594.8127426538974,1338.1597393233128
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,1702.5455452481162,2726.169072658682,0.498,2841.4305534518617,1111.4191872307847,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,6.0,1726.9783725026505,1460.0423583217664
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,1604.1546360488076,2636.4040307642317,0.515,2841.4305534518617,1111.5150965266403,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,7.0,1824.4280314622408,1548.8661499764964
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,1525.6385384081586,2565.4411291128185,0.528,2841.4305534518617,1111.5990756203444,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,8.0,1902.4677003742675,1619.3526228992878
7.0,3542.0,8129.363875458936,5959.999999999993,5435.216679896347,1472.356237594584,2518.2964881947123,0.537,2841.4305534518617,1111.5723861263132,STIEBEL ELTRON ,"WPC 04 cool, average climates",S/W,3353.016666666667,0.0,einstufig,4300.0,8431.69105817848,6543.931092458859,4435.237646563012,2089.194067084742,2346.04357947827,3.376509523056191,4.035858224479858,2.7893476275125906,3.1766874738667443,0.001,32.33191383710551,48.53410570951215,5.0,Süd,4678.529166666666,1288.9177846220116,9.0,1955.5706023560026,1666.3178649855547
