Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,3871.92835090054,4927.123387598014,0.141,5050.082143221741,1989.7912638219186,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,0.0,0.0,0.0
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,3268.6070813571223,4536.983312219695,0.209,5060.082143221741,1941.2373504374602,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,1.0,642.3704355709272,429.189241405828
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,2893.591518313592,4189.258375991929,0.269,5060.082143221741,1910.9920447474171,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,2.0,1011.2301177632293,770.7582967823663
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,2619.6949081842336,3930.119436137486,0.315,5060.082143221741,1896.277239787786,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,3.0,1283.7626356633668,1028.5331444075846
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,2390.5315434595236,3716.027720287764,0.352,5060.082143221741,1886.4616979115183,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,4.0,1512.7706451377235,1242.4695050069554
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,2202.944544593033,3541.170794881187,0.382,5060.082143221741,1871.691678640035,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,5.0,1700.605138108037,1417.5739245173565
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,2062.7739576581102,3410.8584721252823,0.405,5060.082143221741,1860.359202468035,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,6.0,1841.3958192011305,1548.5063414314309
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,1956.4929559322813,3312.6854512552363,0.422,5060.082143221741,1878.4369366747492,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,7.0,1948.392587790463,1647.3951291649807
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,1879.8855964502764,3243.073438517437,0.434,5060.082143221741,1878.265865891171,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,8.0,2025.725654828697,1717.732849459008
7.0,3542.0,9469.270089444977,4470.000000000002,5733.7242033641405,1825.610978379598,3195.2178057868014,0.443,5060.082143221741,1878.1968136093117,ait-deutschland,LW 300(L),L/W,998.55,0.0,geregelt,20360.0,9776.193800786808,5057.10038391919,4733.745170030805,3085.5958010643426,1648.1493689664626,3.1335219053647267,3.1683326109708267,3.068350769135958,2.944660007829334,0.0,32.57380830910934,48.73500151712421,5.0,Süd,4678.529166666666,806.6008157661267,9.0,2080.854483880069,1766.4426931703385
