Standort,Gradtagszahlen,E_load_h,E_load_tww,E_el_gesamt,E_gf,E_gs,Autarkiegrad,P_gs_avg_max_1h,P_gs_avg_max_24h,WP-Hersteller,WP-Name,WP-Katergorie,WP-Laufzeit,Heizlänge,WP-Typ,WP-Leistung,E_hp_h_th,E_hp_tww_th,E_hp_el,E_hp_h_el,E_hp_tww_el,JAZ,JAZ_h,JAZ_tww,SJAZ,f_heizstab,T_sp_h_avg,T_sp_tww_avg,P_pv,PV_orientation,E_pv,E_pv_sc,E_bat,E_bc,E_bd
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,3862.2560499999995,12413.177107121706,0.062,7668.546116764132,4866.619799635179,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,0.0,0.0,0.0
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,3260.0453507318484,12023.939146285187,0.091,7678.546116764132,4837.480067194598,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,1.0,641.6316111607558,428.658872729124
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,2916.5952625850027,11704.015857285589,0.115,7678.546116764132,4817.409990809701,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,2.0,980.163671183968,743.6641336050882
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,2662.2063751636542,11463.226113253331,0.134,7678.546116764132,4807.491637176179,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,3.0,1233.8496478007248,983.7509668327529
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,2442.775137519161,11258.71029980971,0.149,7678.546116764132,4801.095140878564,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,4.0,1453.628242602251,1188.6141374334102
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,2258.336114277115,11087.12050082587,0.162,7678.546116764132,4798.218130144454,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,5.0,1638.8461113930537,1360.9827819660034
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,2103.7272974662924,10943.617501031273,0.173,7678.546116764132,4798.169957077462,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,6.0,1794.414439737905,1505.4452932946274
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,1975.0594646654176,10824.388641146299,0.182,7678.546116764132,4797.606965063174,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,7.0,1924.104503556651,1625.6963841974775
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,1865.4273426943166,10723.304412017036,0.189,7678.546116764132,4798.02237466726,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,8.0,2034.8629365121367,1727.906924311122
7.0,3542.0,40943.57712938555,4470.000000000002,13229.450223788372,1775.8005881615136,10641.362843212139,0.196,7678.546116764132,4797.883138664051,ait-deutschland,LW 310 (L),L/W,1302.1166666666666,0.0,geregelt,23760.0,41156.96761329432,5063.589894575262,12229.471190455042,10631.95178037235,1597.5194100826918,3.779440401637659,3.8710641717990306,3.1696578223817373,3.71345387074711,0.0,27.251688661667888,49.109793175403446,5.0,Süd,4678.529166666666,816.2731166666666,9.0,2125.72015436865,1811.0789564397264
